Year,county,crashes_n_total,crashes_n_fatal,crashes_n_injury,crashes_n_PDO,Killed,Injured
2023,Apache,427,21,132,274,23,210
2023,Cochise,1466,24,438,1004,33,641
2023,Coconino,3594,52,929,2613,57,1383
2023,Gila,971,16,306,649,17,446
2023,Graham,297,6,88,203,11,135
2023,Greenlee,110,3,36,71,3,48
2023,La Paz,435,17,140,278,22,231
2023,Maricopa,87237,647,25456,61134,681,37047
2023,Mohave,3480,67,1050,2363,76,1517
2023,Navajo,1383,32,385,966,40,595
2023,Pima,10263,168,3826,6269,185,5616
2023,Pinal,5633,70,1934,3629,75,2919
2023,Santa Cruz,450,5,115,330,8,160
2023,Yavapai,3883,43,1228,2612,48,1735
2023,Yuma,2618,26,1012,1580,28,1515
2022,Apache,426,24,121,281,27,212
2022,Cochise,1409,28,383,998,31,570
2022,Coconino,3587,51,931,2605,60,1386
2022,Gila,977,21,305,651,25,440
2022,Graham,315,5,103,207,5,147
2022,Greenlee,72,4,21,47,4,26
2022,La Paz,421,7,126,288,7,183
2022,Maricopa,85970,613,24681,60676,660,36035
2022,Mohave,3475,63,1072,2340,71,1584
2022,Navajo,1312,35,365,912,44,555
2022,Pima,9880,166,3681,6033,172,5265
2022,Pinal,5144,79,1676,3389,98,2517
2022,Santa Cruz,468,7,86,375,7,118
2022,Yavapai,3930,50,1263,2617,58,1804
2022,Yuma,2605,25,1064,1516,25,1569
2021,Apache,457,22,144,291,24,211
2021,Cochise,1230,22,326,882,28,491
2021,Coconino,3658,41,896,2721,46,1302
2021,Gila,1017,24,311,682,28,486
2021,Graham,368,15,122,231,19,178
2021,Greenlee,72,1,18,53,1,21
2021,La Paz,495,16,144,335,18,220
2021,Maricopa,86687,546,24283,61858,594,35488
2021,Mohave,3667,54,1130,2483,70,1675
2021,Navajo,1327,35,366,926,41,602
2021,Pima,10872,155,3713,7004,161,5432
2021,Pinal,4645,49,1490,3106,57,2223
2021,Santa Cruz,369,8,76,285,8,120
2021,Yavapai,3900,49,1213,2638,57,1727
2021,Yuma,2581,26,971,1584,28,1457
2020,Apache,374,24,119,231,24,182
2020,Cochise,909,21,267,621,25,393
2020,Coconino,2362,39,571,1752,43,856
2020,Gila,914,21,307,586,23,463
2020,Graham,323,10,94,219,15,147
2020,Greenlee,69,0,20,49,0,31
2020,La Paz,343,16,98,229,17,165
2020,Maricopa,71611,460,19997,51154,492,28855
2020,Mohave,2698,51,815,1832,56,1211
2020,Navajo,1162,31,316,815,38,453
2020,Pima,8841,150,3041,5650,162,4267
2020,Pinal,3448,57,1127,2264,60,1642
2020,Santa Cruz,209,5,37,167,7,56
2020,Yavapai,3352,55,1033,2264,64,1514
2020,Yuma,2163,30,768,1365,31,1115
2019,Apache,421,27,116,278,34,191
2019,Cochise,1072,24,270,778,25,386
2019,Coconino,3740,46,909,2785,53,1465
2019,Gila,992,17,298,677,18,397
2019,Graham,383,7,106,270,7,168
2019,Greenlee,85,3,27,55,3,38
2019,La Paz,377,13,102,262,17,163
2019,Maricopa,97105,428,26583,70094,446,38571
2019,Mohave,3203,51,924,2228,57,1387
2019,Navajo,1250,24,336,890,24,520
2019,Pima,9850,129,3792,5929,141,5449
2019,Pinal,4357,60,1303,2994,69,1969
2019,Santa Cruz,423,6,80,337,6,109
2019,Yavapai,3813,50,1127,2636,54,1636
2019,Yuma,2679,26,953,1700,28,1360
2018,Apache,375,22,100,253,25,153
2018,Cochise,1253,21,304,928,22,462
2018,Coconino,3863,37,889,2937,49,1345
2018,Gila,945,22,274,649,25,425
2018,Graham,366,6,91,269,6,142
2018,Greenlee,78,0,29,49,0,32
2018,La Paz,353,15,118,220,20,186
2018,Maricopa,93813,467,25969,67377,491,37646
2018,Mohave,2975,39,901,2035,43,1311
2018,Navajo,1179,40,327,812,51,524
2018,Pima,10739,116,4162,6461,124,6197
2018,Pinal,4368,56,1286,3026,72,2009
2018,Santa Cruz,438,6,103,329,7,139
2018,Yavapai,3823,40,1113,2670,44,1592
2018,Yuma,2488,29,841,1618,31,1213
2017,Apache,385,39,107,239,47,180
2017,Cochise,1291,19,355,917,22,518
2017,Coconino,3818,37,891,2890,46,1346
2017,Gila,812,27,259,526,29,388
2017,Graham,320,8,106,206,8,157
2017,Greenlee,84,1,35,48,1,42
2017,La Paz,364,15,132,217,18,226
2017,Maricopa,93596,435,26852,66309,463,39131
2017,Mohave,3107,39,939,2129,43,1417
2017,Navajo,1133,42,347,744,51,561
2017,Pima,11707,111,4622,6974,114,6733
2017,Pinal,3977,64,1191,2722,71,1802
2017,Santa Cruz,446,6,77,363,6,120
2017,Yavapai,3565,51,1062,2452,55,1592
2017,Yuma,2459,25,848,1586,26,1261
2016,Apache,429,30,136,263,36,229
2016,Cochise,1399,23,393,983,26,580
2016,Coconino,3987,44,857,3086,50,1285
2016,Gila,795,14,253,528,19,375
2016,Graham,255,4,91,160,5,121
2016,Greenlee,106,1,30,75,1,41
2016,La Paz,459,15,150,294,18,243
2016,Maricopa,92797,453,27513,64831,479,40336
2016,Mohave,3086,40,902,2144,53,1366
2016,Navajo,1108,25,333,750,30,529
2016,Pima,11646,98,4591,6957,112,6645
2016,Pinal,4220,56,1295,2869,62,1971
2016,Santa Cruz,552,3,139,410,3,199
2016,Yavapai,3588,34,1082,2472,40,1592
2016,Yuma,2560,16,851,1693,18,1241
2015,Apache,436,39,144,253,47,270
2015,Cochise,1335,15,335,985,17,499
2015,Coconino,3668,53,867,2748,59,1295
2015,Gila,844,25,258,561,31,385
2015,Graham,300,5,95,200,5,150
2015,Greenlee,88,0,35,53,0,39
