Year,Hour Beginning,Total Crashes,Fatal,Monday All,Monday Fatal,Tuesday All,Tuesday Fatal,Wednesday All,Wednesday Fatal,Thursday All,Thursday Fatal,Friday All,Friday Fatal,Saturday All,Saturday Fatal,Sunday All,Sunday Fatal,Weekdays All,Weekdays Fatal,Weekends All,Weekends Fatal
2023,12:00 AM,"1,696",72,198,9,152,8,178,8,195,5,219,10,383,15,371,17,744,31,952,41
2023,01:00 AM,"1,445",38,155,3,141,4,126,3,140,5,180,8,329,7,374,8,587,20,858,18
2023,02:00 AM,"1,541",37,160,2,108,2,128,3,166,2,183,3,369,11,427,14,585,10,956,27
2023,03:00 AM,"1,213",34,125,2,136,3,113,2,123,3,141,4,294,12,281,8,513,12,700,22
2023,04:00 AM,"1,583",40,214,6,223,9,204,2,210,1,218,10,253,8,261,4,855,22,728,18
2023,05:00 AM,"2,543",50,381,8,431,6,475,12,401,5,377,4,256,5,222,10,"1,684",27,859,23
2023,06:00 AM,"4,217",36,647,5,837,4,754,3,773,12,609,4,335,4,262,4,"3,620",28,597,8
2023,07:00 AM,"7,334",38,"1,111",7,"1,596",7,"1,463",3,"1,404",5,"1,094",7,395,3,271,6,"6,668",29,666,9
2023,08:00 AM,"6,404",31,973,3,"1,261",2,"1,236",8,"1,191",8,948,1,486,4,309,5,"5,609",22,795,9
2023,09:00 AM,"4,826",29,671,3,796,2,803,4,777,7,778,5,621,3,380,5,"3,825",21,"1,001",8
2023,10:00 AM,"5,124",36,684,3,754,4,749,2,775,8,793,8,814,8,555,3,"3,755",25,"1,369",11
2023,11:00 AM,"6,038",43,791,9,873,5,843,2,886,7,"1,002",7,963,7,680,6,"4,395",30,"1,643",13
2023,12:00 PM,"6,893",41,898,4,930,4,"1,042",7,987,3,"1,217",7,"1,028",10,791,6,"5,074",25,"1,819",16
2023,01:00 PM,"7,117",47,913,6,992,5,"1,090",9,"1,032",2,"1,276",8,"1,040",11,774,6,"5,303",30,"1,814",17
2023,02:00 PM,"8,492",64,"1,167",8,"1,279",7,"1,358",9,"1,326",5,"1,572",13,"1,014",12,776,10,"6,702",42,"1,790",22
2023,03:00 PM,"10,103",54,"1,398",2,"1,734",9,"1,601",8,"1,753",6,"1,839",11,"1,001",4,777,14,"8,325",36,"1,778",18
2023,04:00 PM,"10,063",54,"1,396",10,"1,765",5,"1,680",10,"1,750",8,"1,787",5,951,7,734,9,"8,378",38,"1,685",16
2023,05:00 PM,"9,326",69,"1,300",5,"1,552",8,"1,581",8,"1,739",9,"1,434",8,944,22,776,9,"7,606",38,"1,720",31
2023,06:00 PM,"7,645",83,934,10,"1,139",8,"1,256",15,"1,217",7,"1,262",17,"1,037",15,800,11,"4,546",40,"3,099",43
2023,07:00 PM,"5,483",70,634,4,728,10,759,9,839,10,998,13,869,16,656,8,"2,960",33,"2,523",37
2023,08:00 PM,"4,456",61,504,10,581,7,613,9,614,3,793,16,726,11,625,5,"2,312",29,"2,144",32
2023,09:00 PM,"3,619",72,385,8,466,10,421,8,497,13,677,9,708,14,465,10,"1,769",39,"1,850",33
