Year,Driver Age Group,Total,Percent of Total,In Fatal Crashes,Percent of Fatal,In Injury Crashes,Percent of Injury,In PDO Crashes,Percent of PDO
2023,15 & Under,9,0.16%,1,0.41%,5,0.21%,3,0.10%
2023,16,21,0.37%,1,0.41%,10,0.42%,10,0.33%
2023,17,55,0.98%,3,1.23%,27,1.14%,25,0.83%
2023,18,101,1.80%,4,1.65%,46,1.95%,51,1.70%
2023,19,127,2.26%,7,2.88%,59,2.50%,61,2.03%
2023,20,152,2.71%,9,3.70%,53,2.24%,90,2.99%
2023,21,200,3.56%,7,2.88%,90,3.81%,103,3.42%
2023,22,212,3.78%,13,5.35%,71,3.01%,128,4.26%
2023,23,203,3.62%,7,2.88%,76,3.22%,120,3.99%
2023,24,198,3.53%,6,2.47%,86,3.64%,106,3.52%
2023,25-34,"1,768",31.50%,86,35.39%,746,31.60%,936,31.12%
2023,35-44,"1,095",19.51%,41,16.87%,477,20.20%,577,19.18%
2023,45-54,663,11.81%,26,10.70%,265,11.22%,372,12.37%
2023,55-64,481,8.57%,29,11.93%,215,9.11%,237,7.88%
2023,65-74,208,3.71%,2,0.82%,95,4.02%,111,3.69%
2023,75 & Older,45,0.80%,1,0.41%,19,0.80%,25,0.83%
2023,Unknown,74,1.32%,0,0.00%,21,0.89%,53,1.76%
2022,15 & Under,0,0.00%,0,0.00%,0,0.00%,0,0.00%
2022,16,15,0.28%,0,0.00%,8,0.35%,7,0.24%
2022,17,30,0.56%,0,0.00%,11,0.49%,19,0.64%
2022,18,97,1.80%,4,2.44%,46,2.04%,47,1.58%
2022,19,108,2.00%,3,1.83%,45,1.99%,60,2.02%
2022,20,136,2.52%,2,1.22%,57,2.52%,77,2.59%
2022,21,221,4.10%,6,3.66%,85,3.76%,130,4.38%
2022,22,227,4.21%,3,1.83%,90,3.98%,134,4.51%
2022,23,203,3.76%,3,1.83%,90,3.98%,110,3.70%
2022,24,198,3.67%,4,2.44%,84,3.72%,110,3.70%
2022,25-34,"1,732",32.10%,52,31.71%,730,32.30%,950,31.98%
2022,35-44,"1,056",19.57%,37,22.56%,440,19.47%,579,19.49%
2022,45-54,629,11.66%,27,16.46%,273,12.08%,329,11.07%
2022,55-64,445,8.25%,15,9.15%,196,8.67%,234,7.88%
2022,65-74,184,3.41%,6,3.66%,70,3.10%,108,3.64%
2022,75 & Older,46,0.85%,1,0.61%,23,1.02%,22,0.74%
2022,Unknown,68,1.26%,1,0.61%,12,0.53%,55,1.85%
2021,15 & Under,4,0.07%,0,0.00%,0,0.00%,4,0.13%
2021,16,15,0.27%,0,0.00%,6,0.27%,9,0.29%
2021,17,34,0.62%,2,1.10%,11,0.49%,21,0.68%
2021,18,85,1.55%,4,2.21%,30,1.34%,51,1.66%
2021,19,127,2.31%,4,2.21%,57,2.54%,66,2.15%
2021,20,136,2.47%,4,2.21%,58,2.58%,74,2.41%
2021,21,209,3.80%,2,1.10%,95,4.23%,112,3.65%
2021,22,225,4.09%,8,4.42%,87,3.87%,130,4.23%
2021,23,233,4.24%,9,4.97%,89,3.96%,135,4.39%
2021,24,209,3.80%,3,1.66%,67,2.98%,139,4.52%
2021,25-34,"1,866",33.93%,50,27.62%,760,33.82%,"1,056",34.38%
2021,35-44,"1,013",18.42%,42,23.20%,439,19.54%,532,17.32%
2021,45-54,632,11.49%,33,18.23%,243,10.81%,356,11.59%
2021,55-64,445,8.09%,13,7.18%,191,8.50%,241,7.85%
2021,65-74,168,3.05%,5,2.76%,74,3.29%,89,2.90%
2021,75 & Older,52,0.95%,2,1.10%,28,1.25%,22,0.72%
2021,Unknown,47,0.85%,0,0.00%,12,0.53%,35,1.14%
2020,15 & Under,6,0.14%,1,0.72%,0,0.00%,5,0.20%
2020,16,17,0.39%,1,0.72%,5,0.28%,11,0.44%
2020,17,25,0.57%,0,0.00%,11,0.62%,14,0.56%
2020,18,64,1.45%,3,2.16%,21,1.17%,40,1.61%
2020,19,71,1.61%,3,2.16%,24,1.34%,44,1.78%
2020,20,101,2.29%,0,0.00%,54,3.02%,47,1.90%
2020,21,156,3.54%,4,2.88%,68,3.80%,84,3.39%
2020,22,187,4.25%,7,5.04%,75,4.19%,105,4.24%
2020,23,155,3.52%,9,6.47%,65,3.64%,81,3.27%
2020,24,176,4.00%,5,3.60%,82,4.59%,89,3.59%
2020,25-34,"1,436",32.60%,39,28.06%,596,33.33%,801,32.32%
2020,35-44,872,19.80%,30,21.58%,342,19.13%,500,20.18%
2020,45-54,500,11.35%,12,8.63%,206,11.52%,282,11.38%
2020,55-64,423,9.60%,17,12.23%,161,9.00%,245,9.89%
2020,65-74,139,3.16%,4,2.88%,57,3.19%,78,3.15%
2020,75 & Older,27,0.61%,4,2.88%,6,0.34%,17,0.69%
2020,Unknown,50,1.14%,0,0.00%,15,0.84%,35,1.41%
2019,15 & Under,2,0.04%,0,0.00%,1,0.05%,1,0.04%
2019,16,11,0.23%,0,0.00%,4,0.22%,7,0.26%
2019,17,27,0.57%,2,1.12%,13,0.70%,12,0.44%
2019,18,61,1.29%,1,0.56%,20,1.08%,40,1.48%
2019,19,75,1.58%,1,0.56%,23,1.24%,51,1.88%
2019,20,102,2.15%,3,1.69%,42,2.27%,57,2.10%
2019,21,176,3.71%,7,3.93%,66,3.56%,103,3.80%
2019,22,176,3.71%,5,2.81%,69,3.72%,102,3.77%
2019,23,200,4.22%,3,1.69%,76,4.10%,121,4.47%
2019,24,200,4.22%,8,4.49%,84,4.53%,108,3.99%
2019,25-34,"1,471",31.03%,49,27.53%,585,31.57%,837,30.90%
2019,35-44,886,18.69%,39,21.91%,347,18.73%,500,18.46%
2019,45-54,609,12.85%,27,15.17%,226,12.20%,356,13.14%
2019,55-64,469,9.89%,18,10.11%,197,10.63%,254,9.38%
2019,65-74,185,3.90%,13,7.30%,66,3.56%,106,3.91%
2019,75 & Older,47,0.99%,0,0.00%,19,1.03%,28,1.03%
2019,Unknown,43,0.91%,2,1.12%,15,0.81%,26,0.96%
2018,15 & Under,1,0.02%,0,0.00%,0,0.00%,1,0.04%
2018,16,11,0.25%,1,0.56%,5,0.27%,5,0.20%
2018,17,25,0.56%,1,0.56%,14,0.76%,10,0.40%
2018,18,47,1.05%,1,0.56%,23,1.25%,23,0.93%
2018,19,77,1.72%,2,1.12%,35,1.91%,40,1.62%
2018,20,96,2.14%,2,1.12%,48,2.62%,46,1.86%
2018,21,181,4.04%,5,2.81%,73,3.98%,103,4.17%
2018,22,188,4.19%,6,3.37%,78,4.25%,104,4.21%
2018,23,201,4.48%,10,5.62%,88,4.80%,103,4.17%
2018,24,186,4.15%,4,2.25%,73,3.98%,109,4.41%
2018,25-34,"1,425",31.78%,55,30.90%,545,29.70%,825,33.39%
2018,35-44,829,18.49%,28,15.73%,349,19.02%,452,18.29%
2018,45-54,569,12.69%,23,12.92%,250,13.62%,296,11.98%
2018,55-64,411,9.17%,21,11.80%,173,9.43%,217,8.78%
2018,65-74,164,3.66%,15,8.43%,66,3.60%,83,3.36%
2018,75 & Older,34,0.76%,2,1.12%,11,0.60%,21,0.85%
2018,Unknown,39,0.87%,2,1.12%,4,0.22%,33,1.34%
2017,15 & Under,2,0.04%,0,0.00%,0,0.00%,2,0.08%
2017,16,7,0.15%,1,0.44%,0,0.00%,6,0.24%
2017,17,34,0.73%,3,1.33%,15,0.78%,16,0.63%
2017,18,65,1.39%,3,1.33%,30,1.56%,32,1.27%
2017,19,91,1.95%,5,2.22%,36,1.87%,50,1.98%
2017,20,100,2.14%,1,0.44%,41,2.13%,58,2.30%
2017,21,178,3.81%,8,3.56%,71,3.69%,99,3.92%
2017,22,204,4.36%,7,3.11%,86,4.47%,111,4.39%
2017,23,210,4.49%,4,1.78%,89,4.63%,117,4.63%
2017,24,220,4.71%,10,4.44%,84,4.37%,126,4.99%
2017,25-34,"1,486",31.79%,63,28.00%,595,30.93%,828,32.78%
2017,35-44,829,17.73%,43,19.11%,359,18.66%,427,16.90%
2017,45-54,635,13.58%,35,15.56%,270,14.03%,330,13.06%
2017,55-64,374,8.00%,26,11.56%,152,7.90%,196,7.76%
2017,65-74,143,3.06%,8,3.56%,68,3.53%,67,2.65%
2017,75 & Older,36,0.77%,2,0.89%,15,0.78%,19,0.75%
2017,Unknown,61,1.30%,6,2.67%,13,0.68%,42,1.66%
2016,15 & Under,5,0.11%,1,0.51%,4,0.20%,0,0.00%
2016,16,12,0.25%,0,0.00%,8,0.40%,4,0.16%
2016,17,29,0.61%,0,0.00%,15,0.75%,14,0.55%
